wallet_age,transaction_volume_total,transaction_count,active_days,average_tx_value,gas_spent_total,tokens_held,DEX_activity_count,contract_interactions,NFT_activity,liquidation_events,scam_interaction_count,failed_transaction_count,eth_ratio,btc_ratio,nft_ratio,nft_collection_diversity,average_eth_holding_age,average_btc_holding_age,predicted_holding_duration,credit_score
132,1404,279,275,576,2116,10,88,104,41,2,0,11,0.3418861595897456,0.30335142116350133,0.35476241924675306,7,172.8952061709493,354.7934014142317,303.68943257103825,523.5673217796506
465,41943,713,354,1185,44527,19,65,164,41,1,1,0,0.4561663767114374,0.33052775578385424,0.21330586750470845,7,92.29440420599393,88.16916972951302,67.01795266127615,608.9990190483321
890,48926,696,139,980,12691,25,11,196,19,1,1,2,0.31662038212775684,0.4817290688623601,0.20165054900988294,1,67.20256886666664,104.70923487297914,307.8646243201576,631.8362268362523
300,30189,294,391,531,1492,4,167,169,8,0,1,2,0.31597474180515794,0.3373406137663221,0.3466846444285198,8,272.1252810012984,206.08639438012383,231.91448317004662,690.2368450012721
136,13763,725,276,1793,28882,29,72,184,16,2,1,4,0.30888953697690436,0.5142440555468825,0.17686640747621327,5,119.61647221354532,60.568940709552166,92.6146941670709,473.3863633633165
101,19384,685,187,367,9811,19,75,65,26,2,3,18,0.43017964135264775,0.3641564347978268,0.2056639238495256,19,304.71988752499493,176.21021360574278,211.5818541445496,394.5948804598992
730,61100,772,262,1158,28808,43,89,8,46,2,0,0,0.39365835789057224,0.37556253801648415,0.2307791040929436,8,363.5289183573327,224.9000737005329,124.63711034385905,701.9113821796229
50,99142,236,424,878,25272,2,9,106,1,2,1,3,0.40400574213749507,0.4099569340562894,0.1860373238062154,17,55.667637666432306,204.89464633100658,138.36155713471635,601.2388042913569
644,10860,957,65,1699,29399,10,95,99,35,0,3,3,0.41171315975697237,0.3446071143383711,0.24367972590465653,19,188.4667669030396,140.85437533113873,147.7618939349549,548.660086812014
151,81642,390,472,593,7474,43,175,85,18,1,1,16,0.4803948225080882,0.27178434876995305,0.24782082872195874,12,298.690957369119,211.71934503586428,51.21194773572752,620.5741313926195
496,51612,469,466,1685,27956,25,19,63,16,0,2,13,0.28769904729506274,0.322304884077132,0.3899960686278054,15,294.2985503413132,351.198319676714,360.2971642744748,702.8078830524389
244,24574,16,480,1592,48153,20,38,21,4,2,1,17,0.3860140502942248,0.46049074494983094,0.15349520475594428,4,284.59904804087444,99.01583043761097,40.56410042396007,507.22954425911723
360,24524,38,92,1890,43506,48,59,161,38,2,1,0,0.3689847446917255,0.3478258963906854,0.2831893589175891,12,146.91330332614018,249.36850506199121,251.93645251673325,534.3782070799018
